"","Otu001 Enterobacteriaceae","Otu002 Enterococcaceae","Otu003 Porphyromonadaceae","Otu004 Desulfovibrionaceae","Otu005 Akkermansiaceae","Otu006 Bacteroidaceae","Otu007 Porphyromonadaceae","Otu008 Acidaminococcaceae","Otu009 Bacteroidaceae","Otu010 Acidaminococcaceae","Otu011 Sutterellaceae","Otu012 Bacteroidaceae","Otu013 Rikenellaceae","Otu014 Bacteroidaceae","Otu015 Bacteroidaceae","Otu016 Lachnospiraceae","Otu017 Sutterellaceae","Otu018 Bacteroidaceae","Otu019 Porphyromonadaceae","Otu020 Bacteroidaceae","Otu021 Lachnospiraceae","Otu022 Lachnospiraceae","Otu023 Lachnospiraceae","Otu024 Sutterellaceae","Otu025 Lachnospiraceae","Otu026 Odoribacteraceae","Otu027 Sutterellaceae","Otu028 Bacteroidaceae","Otu029 Erysipelotrichaceae","Otu030 Lachnospiraceae","Otu031 Bacillales","Otu032 Lachnospiraceae","Otu033 Erysipelotrichaceae","Otu034 Rikenellaceae","Otu035 Lachnospiraceae","Otu036 Ruminococcaceae","Otu037 Lachnospiraceae","Otu038 Paenibacillaceae_1","Otu039 Clostridiaceae","Otu040 Odoribacteraceae","Otu041 Odoribacteraceae","Otu042 Staphylococcaceae","Otu043 Firmicutes","Otu044 Enterobacteriaceae","Otu045 Rikenellaceae","Otu046 Bacillaceae_1","Otu047 Odoribacteraceae","Otu048 Lachnospiraceae","Otu049 Desulfovibrionaceae","Otu050 Lachnospiraceae","Otu051 Erysipelotrichaceae","Otu052 Erysipelatoclostridiaceae","Otu053 Listeriaceae","Otu054 Ruminococcaceae","Otu055 Lachnospiraceae","Otu056 Bacteroidaceae","Otu057 Ruminococcaceae","Otu058 Clostridiaceae","Otu059 Lactobacillaceae","Otu060 Eubacteriaceae","Otu061 Lachnospiraceae","Otu062 Firmicutes","Otu063 Ruminococcaceae","Otu064 Lachnospiraceae","Otu065 Paenibacillaceae_1","Otu066 Lachnospiraceae","Otu067 Lachnospiraceae","Otu068 Lachnospiraceae","Otu069 Pseudomonadaceae","Otu070 Lachnospiraceae","Otu071 Odoribacteraceae","Otu072 Ruminococcaceae","Otu073 Ruminococcaceae","Otu074 Prevotellaceae","Otu075 Lachnospiraceae","Otu076 Paenibacillaceae_1","Otu077 Erysipelotrichaceae","Otu078 Bacillaceae_1","Otu079 Ruminococcaceae","Otu080 Lachnospiraceae","Otu081 Sutterellaceae","Otu082 Lachnospiraceae","Otu083 Ruminococcaceae","Otu084 Lachnospiraceae","Otu085 Lachnospiraceae","Otu086 Lachnospiraceae","Otu087 Lachnospiraceae","Otu088 Lachnospiraceae","Otu089 Clostridiaceae","Otu090 Ruminococcaceae","Otu091 Lachnospiraceae","Otu092 Bacteria","Otu093 Erysipelotrichaceae","Otu094 Bacteroidaceae","Otu095 Ruminococcaceae","Otu096 Rikenellaceae","Otu097 Ruminococcaceae","Otu098 Ruminococcaceae","Otu099 Bacillaceae_2","Otu100 Ruminococcaceae","Otu101 Lachnospiraceae","Otu102 Clostridiaceae","Otu103 Paenibacillaceae_1","Otu104 Lachnospiraceae","Otu105 Eggerthellaceae","Otu106 Ruminococcaceae","Otu107 Lachnospiraceae","Otu108 Lachnospiraceae","Otu109 Ruminococcaceae","Otu110 Lachnospiraceae","Otu111 Lachnospiraceae","Otu112 Lachnospiraceae","Otu113 Erysipelotrichaceae","Otu114 Clostridiaceae","Otu115 Clostridiaceae","Otu116 Odoribacteraceae","Otu117 Bacillales","Otu118 Ruminococcaceae","Otu119 Ruminococcaceae","Otu120 Lachnospiraceae","Otu121 Erysipelotrichaceae","Otu122 Clostridiaceae","Otu123 Erysipelotrichaceae","Otu124 Barnesiellaceae","Otu125 Lachnospiraceae","Otu126 Paenibacillaceae_1","Otu127 Lachnospiraceae","Otu128 Bacteroidaceae","Otu129 Paenibacillaceae_1","Otu130 Lachnospiraceae","Otu131 Lachnospiraceae","Otu132 Barnesiellaceae","Otu133 Prevotellaceae","Otu134 Ruminococcaceae","Otu135 Lachnospiraceae","Otu136 Peptostreptococcaceae","Otu137 Paenibacillaceae_1","Otu138 Ruminococcaceae","Otu139 Ruminococcaceae","Otu140 Ruminococcaceae","Otu141 Clostridiaceae","Otu142 Muribaculaceae","Otu143 Ruminococcaceae","Otu144 Eggerthellaceae","Otu145 Clostridiaceae","Otu146 Lachnospiraceae","Otu147 Lachnospiraceae","Otu148 Clostridiaceae","Otu149 Coriobacteriaceae","Otu150 Lachnospiraceae","Otu151 Ruminococcaceae","Otu152 Lachnospiraceae","Otu153 Bacteroidaceae","Otu154 Lachnospiraceae","Otu155 Ruminococcaceae","Otu156 Ruminococcaceae","Otu157 Bacteria","Otu158 Lachnospiraceae","Otu159 Lachnospiraceae","Otu160 Lachnospiraceae","Otu161 Ruminococcaceae","Otu162 Akkermansiaceae","Otu163 Ruminococcaceae","Otu164 Clostridiaceae","Otu165 Lachnospiraceae","Otu166 Rikenellaceae","Otu167 Ruminococcaceae","Otu168 Paenibacillaceae_1","Otu169 Ruminococcaceae","Otu170 Ruminococcaceae","Otu171 Lachnospiraceae","Otu172 Lachnospiraceae","Otu173 Eubacteriaceae","Otu175 Enterobacteriaceae","Otu176 Micrococcaceae","Otu177 Bacteroidaceae","Otu178 Lachnospiraceae","Otu179 Lachnospiraceae","Otu180 Lachnospiraceae","Otu181 Bacteroidaceae","Otu182 Clostridiaceae","Otu183 Lachnospiraceae","Otu185 Lachnospiraceae","Otu187 Ruminococcaceae","Otu188 Victivallaceae","Otu189 Lachnospiraceae","Otu190 Ruminococcaceae","Otu191 Oxalobacteraceae","Otu192 Ruminococcaceae","Otu193 Lachnospiraceae","Otu194 Firmicutes","Otu195 Ruminococcaceae","Otu197 Bacteroidaceae","Otu198 Bacteroidaceae","Otu200 Clostridiaceae","Otu201 Erysipelotrichaceae","Otu203 Ruminococcaceae","Otu204 Eggerthellaceae","Otu206 Firmicutes","Otu207 Ruminococcaceae","Otu209 Erysipelotrichaceae","Otu210 Bacteroidaceae","Otu211 Lachnospiraceae","Otu216 Ruminococcaceae","Otu218 Lachnospiraceae","Otu221 Bacteroidaceae","Otu222 Erysipelotrichaceae","Otu223 Erysipelotrichaceae","Otu224 Lachnospiraceae","Otu227 Ruminococcaceae","Otu229 Bacteroidaceae","Otu237 Bacteroidaceae","Otu240 Lachnospiraceae","Otu241 Ruminococcaceae","Otu243 Lachnospiraceae","Otu251 Bacteroidales","Otu273 Lachnospiraceae","Otu276 Ruminococcaceae"
"A_1R_ABX2",0,30,0,52,0,184,1,0,89,0,0,74,0,5,0,0,0,2,14,0,0,27,37,0,17,0,17,21,0,12,0,14,7,10,0,11,14,0,0,2,1,0,73,0,0,0,0,0,0,0,0,8,0,0,46,14,8,0,0,3,4,0,53,0,0,0,28,0,0,3,11,3,2,0,10,0,9,0,2,2,0,0,2,15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"A_NP_ABX2",0,59,0,41,0,184,0,0,134,0,0,80,0,3,0,0,0,3,25,0,0,28,35,0,17,0,8,0,0,10,0,23,3,10,0,2,19,0,0,3,2,0,75,0,2,0,0,0,0,0,0,8,0,0,29,19,5,0,0,2,6,0,50,0,0,0,13,0,0,0,6,1,6,0,6,0,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,1,5,0,1,3,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B_1L_ABX2",0,1,0,98,394,38,96,0,18,0,0,111,3,14,0,0,0,7,20,35,0,0,0,12,1,1,14,50,0,0,0,0,26,8,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_1R_ABX2",0,0,0,116,407,14,68,0,23,0,0,108,10,6,1,0,0,2,11,25,0,0,0,2,4,0,36,65,0,3,0,0,45,14,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_NP_ABX2",0,0,0,79,341,86,91,0,6,0,0,95,1,6,5,0,0,3,16,30,0,0,35,8,30,0,11,65,0,0,0,0,17,11,0,0,0,0,0,1,20,0,0,0,4,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1L_ABX2",0,921,0,2,28,6,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,6,5,1,0,0,0,0,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1R_ABX2",0,754,0,0,128,25,1,0,0,0,0,2,1,0,0,0,0,0,0,5,0,30,7,0,1,0,0,3,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_NP_ABX2",0,681,0,0,73,11,0,0,3,0,0,6,0,0,0,0,0,0,0,8,0,9,4,7,0,0,173,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_1L_ABX2",0,2,0,69,3,0,0,0,0,848,0,2,0,0,0,0,0,0,0,0,0,2,12,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_1R_ABX2",0,5,0,42,163,23,8,0,0,325,0,34,1,0,0,0,0,0,0,13,0,39,86,58,14,0,1,0,0,1,0,0,26,10,6,12,4,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,2,0,40,0,1,0,0,0,0,13,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_NP_ABX2",0,24,0,4,10,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,16,53,0,0,178,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1L_ABX2",0,209,0,0,0,0,25,0,0,0,0,0,247,14,0,0,0,0,2,2,0,3,22,33,0,241,0,0,0,0,0,1,0,37,5,0,0,0,0,0,96,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1R_ABX2",0,59,0,8,2,0,23,0,4,0,0,14,294,45,0,0,0,0,185,90,0,0,12,9,0,134,0,0,0,0,0,1,0,34,6,0,0,0,0,0,46,0,0,0,14,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_2R_ABX2",0,44,0,0,2,0,27,0,0,0,0,0,59,132,0,0,0,0,0,2,0,1,5,10,0,315,0,0,0,0,0,0,0,70,2,0,0,0,0,0,98,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_NP_ABX2",0,180,0,0,9,0,90,0,3,0,0,11,128,147,0,0,0,0,47,36,0,1,13,5,0,153,0,0,0,0,0,1,0,35,0,0,0,0,0,1,29,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F_1L_ABX2",2,23,186,43,0,31,24,33,55,0,5,0,2,12,7,81,0,65,8,0,59,45,0,0,13,0,0,0,28,15,0,15,3,0,6,19,11,0,3,1,0,0,0,0,0,0,4,28,8,4,0,5,0,0,0,0,10,0,0,0,2,24,0,0,0,0,0,0,0,16,0,0,5,0,0,0,2,0,4,1,0,7,2,0,3,0,0,0,1,1,0,0,0,4,0,0,7,0,0,6,0,0,0,9,3,3,0,1,0,1,3,7,2,0,3,0,0,0,2,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F_1R_ABX2",1,7,210,56,0,66,16,55,63,0,8,0,5,0,36,67,0,59,1,0,59,36,0,1,18,0,0,0,8,29,0,10,14,0,6,13,7,0,7,0,0,0,0,0,0,0,6,11,12,0,0,8,0,0,0,0,8,0,0,0,1,7,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,7,1,0,4,3,0,5,0,0,0,1,0,0,0,0,6,0,1,3,0,0,4,0,2,0,6,8,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F_NP_ABX2",2,0,241,25,0,99,38,65,66,0,13,0,9,1,26,57,0,16,4,0,68,27,0,1,10,0,0,0,1,25,0,5,11,0,6,17,6,0,0,10,0,0,0,0,0,0,2,9,12,2,0,1,0,0,1,0,7,0,0,0,12,25,0,0,0,0,2,0,0,12,0,0,2,0,0,0,3,0,5,1,0,4,4,0,1,0,0,0,1,5,0,0,0,2,0,3,1,0,0,3,0,0,0,8,5,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1EA_ABX2",289,6,0,47,0,6,32,157,2,0,254,0,0,0,0,49,0,1,0,0,36,13,0,25,3,0,0,0,1,14,0,3,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,1,17,0,0,1,0,0,0,0,4,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1L_ABX2",326,4,1,73,0,1,0,180,0,0,249,0,0,0,2,14,0,0,0,0,24,1,0,93,2,0,0,0,0,6,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1R_ABX2",321,3,1,39,0,3,14,206,0,0,279,0,0,0,0,20,0,0,0,0,22,7,0,34,1,0,0,0,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_NP_ABX2",302,2,1,102,0,0,0,202,0,0,266,0,0,0,0,18,0,0,0,0,15,2,0,22,1,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H_1EA_ABX2",456,389,0,0,0,0,0,0,1,0,0,0,0,0,0,5,83,0,0,0,0,1,0,0,0,0,0,0,7,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
